Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected,Front Ultrasonic Distance (cm)
2026-03-28 17:20:32,2.54,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.65,1.10,0.28,0.36,CAUTION_WARNING,0.00,,21.10,14.70,504,2.54,65.9,1,0,0.00,0.00,0.00,0.65,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:33,3.55,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.64,1.10,0.28,0.36,CAUTION_WARNING,0.00,,16.00,14.80,504,3.55,66.4,1,0,0.00,0.00,0.00,0.64,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:34,4.55,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.65,1.10,0.26,0.36,CAUTION_WARNING,0.00,,14.60,14.80,504,4.55,67.0,1,0,0.00,0.00,0.00,0.65,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:35,5.57,0,0,0,0,0,0,0,0.00,1,1.00,0.00,0.00,0.00,0.00,P,0.00,0.63,1.09,0.27,0.36,CAUTION_WARNING,0.00,,16.30,14.80,504,5.57,67.0,1,0,0.00,0.00,0.00,0.63,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:36,6.58,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.63,1.08,0.21,0.37,CAUTION_WARNING,0.00,,14.80,14.80,504,6.58,67.0,1,0,0.00,0.00,0.00,0.63,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:37,7.60,0,0,1,0,0,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,D,0.00,0.63,1.08,0.22,0.37,CAUTION_WARNING,0.00,,17.20,14.80,504,7.60,65.3,1,0,0.00,0.00,0.00,0.63,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:38,8.61,0,0,0,0,0,0,0,0.00,0,1.00,0.00,0.00,0.00,0.14,D,0.00,0.63,1.08,0.22,0.37,CAUTION_WARNING,0.00,,13.10,14.80,504,8.61,67.5,1,0,0.00,0.00,0.00,0.63,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:39,9.62,0,0,0,0,0,0,0,0.00,0,1.00,0.97,0.02,0.97,0.64,D,0.00,0.63,1.08,0.21,0.37,CAUTION_WARNING,0.00,,7.00,14.70,504,0.00,66.4,1,0,0.00,0.00,0.00,0.63,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:40,10.63,0,0,0,0,0,0,0,0.00,0,0.00,2.44,0.19,2.39,0.81,D,0.00,0.63,1.09,0.34,0.37,CAUTION_WARNING,0.00,,15.30,14.80,504,0.00,67.5,1,0,0.00,0.00,0.00,0.63,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:41,11.65,0,0,0,1,0,0,0,0.00,0,0.00,2.44,0.33,1.10,0.00,N,0.00,0.63,1.09,0.32,0.37,CAUTION_WARNING,0.00,,12.20,14.80,504,0.00,67.5,1,0,0.00,0.00,0.00,0.63,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:42,12.65,0,0,0,1,0,0,0,0.00,0,1.00,2.44,0.33,0.00,-0.24,R,0.00,0.63,1.08,0.21,0.37,CAUTION_WARNING,0.00,,18.10,14.80,504,0.60,65.9,1,0,0.00,0.00,0.00,0.63,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:43,13.76,0,0,0,0,0,0,0,0.00,0,1.00,2.44,0.34,1.57,-0.85,R,0.00,0.63,1.08,0.28,0.37,CAUTION_WARNING,0.00,,12.70,14.80,504,0.00,66.4,1,0,0.00,0.00,0.00,0.63,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:44,14.67,0,0,0,0,0,0,0,0.00,0,0.00,2.49,0.47,2.03,-0.64,R,0.00,0.64,1.09,0.32,0.37,CAUTION_WARNING,0.00,,17.50,14.70,504,0.00,65.9,1,0,0.00,0.00,0.00,0.64,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:45,15.68,0,0,0,0,0,0,0,0.00,0,0.00,2.49,0.54,0.76,-0.13,R,0.00,0.62,1.10,0.26,0.36,CAUTION_WARNING,0.00,,15.70,14.70,504,0.00,67.5,1,0,0.00,0.00,0.00,0.62,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:46,16.69,0,0,0,0,0,0,0,0.00,0,0.00,2.49,0.51,0.00,-0.00,R,0.00,0.62,1.12,0.27,0.36,CAUTION_WARNING,0.00,,11.90,14.70,504,0.71,67.5,1,0,0.00,0.00,0.00,0.62,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:47,17.69,0,0,0,0,0,0,0,0.00,0,0.00,2.49,0.48,0.00,-0.00,R,0.00,0.62,1.11,0.28,0.36,CAUTION_WARNING,0.00,,11.70,14.70,504,1.71,65.9,1,0,0.00,0.00,0.00,0.62,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:48,18.70,0,0,0,0,0,0,0,0.00,0,0.00,2.49,0.46,0.00,-0.00,R,0.00,0.62,1.11,0.40,0.36,CAUTION_WARNING,0.00,,14.40,14.70,504,0.99,67.0,1,0,0.00,0.00,0.00,0.62,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:49,19.71,0,0,0,0,0,0,0,0.00,0,0.00,2.49,0.43,0.00,-0.00,R,0.00,0.63,1.10,0.34,0.36,CAUTION_WARNING,0.00,,8.70,14.70,504,0.49,66.4,1,0,0.00,0.00,0.00,0.63,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:20:50,20.72,0,0,0,0,0,0,0,0.00,0,0.00,2.49,0.41,0.00,-0.00,R,0.00,0.62,1.10,0.10,0.07,CAUTION_WARNING,0.00,,7.90,14.70,504,1.51,65.3,1,0,0.00,0.00,0.00,0.62,0.00,0.00,0,0,0.00,0,0.00
